NEIGHBORHOOD,SUMMARY
East Allegheny,Alcohol consumption in public
Mount Washington,Harassment
Perry North,Disorderly Conduct
South Side Flats,Public urination/defecation
Perry North,Criminal Mischief
Central Business District,Public drunkenness
Central Oakland,Refusing collection at night
Central Business District,Alcohol on streets/sidewalks
South Side Flats,Public drunkenness
Larimer,Marijuana possession
Lower Lawrenceville,Harassment
Manchester,Amplified vehicle noise
West Oakland,Marijuana possession
South Side Flats,Interference with official duties
Middle Hill,Marijuana possession
Mount Washington,Interference with official duties
East Liberty,Marijuana possession
Homewood North,Marijuana possession
Squirrel Hill North,Refusing collection at night in residential zones
Perry North,Disorderly Conduct
Bluff,Harassment
North Shore,Trespass
South Side Flats,Public urination/defecation
South Side Flats,Littering/Dumping
South Side Flats,Indecent public excretion
South Side Slopes,Disorderly Conduct
Central Business District,Disorderly Conduct
Marshall-Shadeland,Theft of Services
Spring Hill-City View,Disorderly conduct (unreasonable noise)
South Side Flats,Public urination/defecation
South Side Flats,Public drunkenness
Lower Lawrenceville,Fighting in disorderly conduct
South Side Flats,Obscene lang/gest disorderly conduct
Lower Lawrenceville,Fighting (Disorderly Conduct)
Mount Washington,Harassment
Perry North,Criminal Mischief
South Side Flats,Alcohol consumption in public
South Side Flats,Fighting disorderly conduct
Homewood North,Fighting in disorderly conduct
Homewood North,Fighting in disorderly conduct
South Side Flats,Indecent public act
East Allegheny,Obstructing passage
Bedford Dwellings,Noise violation
Greenfield,Public drunkenness
Allegheny Center,Open container
South Side Flats,Fighting (Disorderly Conduct)
South Side Slopes,Littering
Shadyside,Public drunkenness
Spring Hill-City View,Cruelty to Animals
North Shore,Public drunkenness
Spring Hill-City View,Cruelty to Animals
Central Business District,Indecent public act
Bloomfield,Disorderly Conduct
South Side Flats,Interference with duties
Central Business District,Harassment
Allegheny Center,Public drunkenness
Central Oakland,Refusing collection at night
Spring Hill-City View,Cruelty to Animals
St. Clair,Theft of services
East Allegheny,Public drunkenness
Central Business District,Disorderly Conduct
Squirrel Hill South,Public drunkenness
Manchester,Criminal Mischief
Mount Washington,Obscene lang/gest disorderly conduct
South Side Flats,Public urination/defecation
Homewood West,Criminal Mischief
Central Oakland,Refusing collection at night
South Side Flats,Public urination/defecation
Hazelwood,Criminal Mischief
South Side Flats,Public urination/defecation
South Side Flats,Public urination/defecation
South Side Slopes,Cruelty to animals
South Side Flats,Public urination/defecation
South Side Flats,Public urination/defecation
Perry North,Disorderly Conduct
South Side Flats,Public urination/defecation
Spring Hill-City View,Cruelty to animals
Brookline,Harassment
South Side Slopes,Cruelty to animals
Larimer,Marijuana possession
South Side Flats,Obscene lang/gest disorderly conduct
Central Business District,Harassment
South Side Flats,Fighting (disorderly conduct)
East Allegheny,Obstructing passage
South Side Slopes,Marijuana possession
South Side Slopes,Cruelty to animals
Squirrel Hill North,Marijuana possession
North Shore,Disorderly conduct (unreasonable noise)
Central Business District,Public drunkenness
South Side Flats,Indecent public urination/defecation
Sheraden,Dog license requirement
Central North Side,Defiant Trespass
,Harassment
South Oakland,Public drunkenness
Central Business District,Alcohol on streets/sidewalks
Point Breeze North,Unreasonable noise disorderly conduct
Lincoln-Lemington-Belmar,Marijuana possession
Squirrel Hill South,Marijuana possession
East Allegheny,Trespass
South Side Slopes,Disorderly Conduct
Larimer,Marijuana possession
Bloomfield,Criminal Mischief
South Side Slopes,Cruelty to animals
South Side Flats,Alcohol on streets/sidewalks
South Oakland,Underage liquor
South Side Slopes,Cruelty to animals
South Side Slopes,Cruelty to animals
South Side Slopes,Cruelty to animals
Central Business District,Public urination/defecation
Brighton Heights,Criminal Mischief
East Liberty,Interference with official duties
South Side Flats,Indecent public act
Central North Side,Defiant Trespass
South Side Slopes,Cruelty to animals
South Side Slopes,Cruelty to animals
Squirrel Hill North,Unreasonable Noise Disorderly Conduct
Allentown,Marijuana possession
South Side Flats,Obscene conduct
Central Oakland,Disorderly Conduct (Unreasonable Noise)
Bloomfield,Alcohol consumption in public
Mount Washington,Trespass
Chateau,Public urination/defecation
Central Business District,Disorderly conduct (unreasonable noise)
Spring Hill-City View,Cruelty to animals
North Shore,Obstructing passage
Arlington,Disorderly Conduct (Unreasonable Noise)
Sheraden,Rabies vaccination
Crafton Heights,Cruelty to animals
Windgap,Harassment
South Side Flats,Interference with official duties
Fineview,Criminal Mischief
Sheraden,Dog license requirement
Greenfield,Refusing collection at night
East Liberty,Disorderly Conduct
Brighton Heights,Theft of services
Central Oakland,Disorderly conduct - unreasonable noise
South Side Flats,Public drunkenness
Carrick,Fighting in disorderly conduct
Sheraden,Animal neglect
Spring Hill-City View,Cruelty to animals
Mount Washington,Public drunkenness
Sheraden,Animal neglect
Greenfield,Public drunkenness
South Side Flats,Public drunkenness
Chateau,Criminal Mischief
Central Business District,Panhandling
Central Business District,Cruelty to animals
South Side Flats,Public urination/defecation
Sheraden,Rabies vaccination
South Side Flats,Public drunkenness
South Side Flats,Fighting in disorderly conduct
South Side Flats,Underage liquor
Sheraden,Improper dog tethering
Hazelwood,Trespass
South Side Slopes,Public drunkenness
South Side Slopes,Rabies vaccination
North Shore,Criminal Mischief
East Liberty,Interference with duties
South Side Flats,False ID for liquor
Mount Washington,Public drunkenness
South Side Slopes,Dog license requirement
Central Oakland,Unreasonable Noise Disorderly Conduct
Allentown,Obscene Lang/Gest Disorderly Conduct
Central Business District,Harassment
East Liberty,Retail Theft
South Side Flats,Fighting disorderly conduct
Beltzhoover,Interference with duties
South Oakland,Underage liquor offense
Perry South,Public drunkenness
Fineview,Disorderly Conduct
Strip District,Criminal Mischief
Mount Washington,Actual Communication
South Side Flats,Indecent public excretion
Homewood South,Open Container
Strip District,Harassment
South Side Slopes,Obstructing passage
South Side Flats,Open container
South Side Flats,Public drunkenness
Central Business District,Public drunkenness
Fineview,Disorderly Conduct
South Side Flats,Public drunkenness
Central Business District,Public marijuana smoking
Central Business District,Harassment
South Side Flats,False ID for liquor
South Oakland,Disorderly Conduct
South Side Slopes,Harboring nuisance animal
Mount Washington,Trespassing threat
South Side Flats,Public urination/defecation
Outside City,Harassment
South Oakland,Disorderly Conduct
South Side Flats,Disorderly Conduct
,Marijuana distribution
South Shore,Public drunkenness
Mount Washington,Harassment
Stanton Heights,Criminal Mischief
South Side Flats,Interference with official duties
Middle Hill,Harassment
Central Business District,Harassment
South Side Flats,Public drunkenness
Hazelwood,Criminal Mischief
Perry South,Public urination/defecation
Arlington,Harassment
Knoxville,"Marijuana distribution (small amt, not for sale)"
South Side Flats,Interference with official duties
South Side Flats,Interference with duties
South Side Flats,Disorderly Conduct
South Side Flats,Indecent public act
Central Oakland,Underage liquor offense
South Side Flats,"Marijuana distribution (small amt, not for sale)"
South Side Flats,Fighting in disorderly conduct
Strip District,Public drunkenness
,Retail Theft
South Side Flats,Indecent public act
Knoxville,Harassment
South Side Flats,Indecent public excretion
Brookline,Harassment
Central Oakland,Public drunkenness
Garfield,Alcohol consumption in public
Central Business District,Retail Theft
South Side Flats,Public urination/defecation
South Side Flats,Public urination/defecation
South Side Flats,Public urination/defecation
,"Marijuana distribution (small amt, not for sale)"
South Side Flats,Interference with official duties
South Side Flats,Harassment
Central Business District,Disorderly Conduct
South Side Flats,Indecent public urination/defecation
Arlington,Harassment by physical contact
North Shore,Disorderly conduct - unreasonable noise
North Shore,Public drunkenness
South Side Flats,Alcohol consumption in public
South Side Slopes,Defiant Trespass
Squirrel Hill South,Retail Theft
Shadyside,Public drunkenness
Sheraden,Improper dog tethering
South Side Flats,Disorderly conduct
Central Oakland,Obscene lang/gest disorderly conduct
Central Business District,Obstructing passage
Central Business District,Harassment
South Side Flats,Alcohol consumption in public
South Side Flats,Fighting in disorderly conduct
South Side Flats,Public drunkenness
Shadyside,Fighting in disorderly conduct
Greenfield,Marijuana possession
Crawford-Roberts,Public drunkenness
South Side Flats,Marijuana possession
Mount Washington,Marijuana possession
South Side Flats,Public drunkenness
Chateau,Marijuana possession
Shadyside,Public drunkenness
Carrick,Anonymous harassment
Greenfield,Criminal Mischief
Middle Hill,Public drunkenness
South Oakland,Marijuana possession
South Side Flats,Public drunkenness
Mount Washington,Public drunkenness
Central Business District,Marijuana possession
South Side Flats,Public urination/defecation
South Side Slopes,Defiant Trespass
South Oakland,Underage liquor offense
South Side Flats,Fighting in disorderly conduct
Strip District,Criminal Mischief
South Side Flats,Public urination/defecation
Brookline,Harassment
Central Business District,Obstructing passage
Brookline,Obscene lang/gest disorderly conduct
East Allegheny,Obstructing passage
Central Business District,Public drunkenness
South Side Flats,Criminal Mischief
Carrick,Marijuana possession
Westwood,Harassment
,Open Container
South Side Flats,Public drunkenness
South Side Flats,Underage liquor
Central Business District,Harassment
Central Business District,Harassment
Central Oakland,Underage liquor offense
Carrick,Public drunkenness
Shadyside,Spitting
Crawford-Roberts,Public urination/defecation
South Side Flats,Disorderly Conduct
South Side Flats,Public drunkenness
Allentown,Obscene lang/gest (disorderly conduct)
West Oakland,Public drunkenness
South Side Flats,Fighting in disorderly conduct
,Disorderly Conduct
West Oakland,Harassment
East Carnegie,Harassment
Hazelwood,Alcohol on streets/sidewalks
Central Business District,Marijuana possession
North Shore,Actual Communication
South Side Flats,Public drunkenness
South Side Flats,Fighting (Disorderly Conduct)
Beltzhoover,Criminal Mischief
Marshall-Shadeland,Harassment
East Carnegie,Harassment
South Side Flats,Public urination/defecation
South Side Slopes,Scattering Rubbish
South Side Flats,Alcohol consumption in public
Central Business District,Public drunkenness
Squirrel Hill North,Public drunkenness
Central Lawrenceville,Fighting in disorderly conduct
South Side Flats,Public drunkenness
South Side Flats,Underage liquor
South Side Flats,Underage liquor
South Side Flats,Public drunkenness
Central North Side,Alcohol consumption in public
Allegheny Center,Criminal Mischief
Allentown,Fighting disorderly conduct
Homewood West,Fighting in disorderly conduct
East Hills,Marijuana possession
Homewood West,Fighting (Disorderly Conduct)
Shadyside,Obscene Lang/Gest Disorderly Conduct
Central Lawrenceville,Criminal Mischief
South Side Flats,Public urination/defecation
South Side Flats,Disorderly Conduct - Unreasonable Noise
South Side Flats,Public urination/defecation
Allentown,Fighting (Disorderly Conduct)
South Side Flats,Indecent public act
South Side Flats,Indecent public act
South Side Flats,Disorderly Conduct (Unreasonable Noise)
South Side Flats,Public drunkenness
Allentown,Fighting (Disorderly Conduct)
Central Oakland,Unreasonable noise disorderly conduct
South Side Flats,Underage liquor
South Oakland,Disorderly Conduct
South Side Flats,Public drunkenness
East Allegheny,Panhandling near paystation/ATM
